images_64 : Stage: [1/5], Iter: [100/200], ftr_loss : +5.0212, nll : +0.0513, mse_loss : +0.1434, l1_loss : +0.2997, perceptual_edge_loss : +0.0000, psnr : +8.1019, ssim : +0.0099
images_64 : Stage: [1/5], Iter: [200/200], ftr_loss : +5.0212, nll : +0.0496, mse_loss : +0.1434, l1_loss : +0.2997, perceptual_edge_loss : +0.0000, psnr : +8.1019, ssim : +0.0099
images_64 : Stage: [2/5], Iter: [1/200], ftr_loss : +5.0212, nll : +0.0496, mse_loss : +0.1434, l1_loss : +0.2997, perceptual_edge_loss : +0.0000, psnr : +8.1019, ssim : +0.0099
images_64 : Stage: [2/5], Iter: [100/200], ftr_loss : +5.0212, nll : +0.0487, mse_loss : +0.1434, l1_loss : +0.2997, perceptual_edge_loss : +0.0000, psnr : +8.1019, ssim : +0.0099
images_64 : Stage: [2/5], Iter: [200/200], ftr_loss : +5.0212, nll : +0.0479, mse_loss : +0.1434, l1_loss : +0.2997, perceptual_edge_loss : +0.0000, psnr : +8.1019, ssim : +0.0099
images_64 : Stage: [3/5], Iter: [1/200], ftr_loss : +5.0212, nll : +0.0479, mse_loss : +0.1434, l1_loss : +0.2997, perceptual_edge_loss : +0.7125, psnr : +8.1019, ssim : +0.0099
images_64 : Stage: [3/5], Iter: [100/200], ftr_loss : +5.0212, nll : +0.0479, mse_loss : +0.1434, l1_loss : +0.2997, perceptual_edge_loss : +0.7125, psnr : +8.1019, ssim : +0.0099
images_64 : Stage: [3/5], Iter: [200/200], ftr_loss : +5.0212, nll : +0.0478, mse_loss : +0.1434, l1_loss : +0.2997, perceptual_edge_loss : +0.7125, psnr : +8.1019, ssim : +0.0099
images_64 : Stage: [4/5], Iter: [1/200], ftr_loss : +5.0212, nll : +0.0478, mse_loss : +0.1434, l1_loss : +0.2997, perceptual_edge_loss : +0.0712, psnr : +8.1019, ssim : +0.0099
images_64 : Stage: [4/5], Iter: [100/200], ftr_loss : +5.0212, nll : +0.0478, mse_loss : +0.1434, l1_loss : +0.2997, perceptual_edge_loss : +0.0712, psnr : +8.1019, ssim : +0.0099
images_64 : Stage: [4/5], Iter: [200/200], ftr_loss : +5.0212, nll : +0.0478, mse_loss : +0.1434, l1_loss : +0.2997, perceptual_edge_loss : +0.0712, psnr : +8.1019, ssim : +0.0099
images_64 : Stage: [5/5], Iter: [1/200], ftr_loss : +5.0212, nll : +0.0478, mse_loss : +0.1434, l1_loss : +0.2997, perceptual_edge_loss : +0.0071, psnr : +8.1019, ssim : +0.0099
images_64 : Stage: [5/5], Iter: [100/200], ftr_loss : +5.0212, nll : +0.0478, mse_loss : +0.1434, l1_loss : +0.2997, perceptual_edge_loss : +0.0071, psnr : +8.1019, ssim : +0.0099
images_64 : Stage: [5/5], Iter: [200/200], ftr_loss : +5.0212, nll : +0.0478, mse_loss : +0.1434, l1_loss : +0.2997, perceptual_edge_loss : +0.0071, psnr : +8.1019, ssim : +0.0099
images_65 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.0044, nll : +0.0507, mse_loss : +0.0591, l1_loss : +0.1659, perceptual_edge_loss : +0.0000, psnr : +10.9838, ssim : +0.1833
images_65 : Stage: [1/5], Iter: [100/200], ftr_loss : +1.6826, nll : +0.0443, mse_loss : +0.0155, l1_loss : +0.0746, perceptual_edge_loss : +0.0000, psnr : +15.9450, ssim : +0.4099
images_65 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.1733, nll : +0.0413, mse_loss : +0.0089, l1_loss : +0.0509, perceptual_edge_loss : +0.0000, psnr : +18.2325, ssim : +0.5447
images_65 : Stage: [2/5], Iter: [1/200], ftr_loss : +0.9976, nll : +0.0413, mse_loss : +0.0100, l1_loss : +0.0549, perceptual_edge_loss : +0.0000, psnr : +17.7831, ssim : +0.4959
